phi,E_phi,E_phi_prime,E_phi_prime_prime,var_phi,cov_phi_phi_prime,var_phi_prime
id,0,1,0,1,0,0
om2,1,0,2,2,0,4
arctan,0,0.65568,0,0.4497,0,0.07008
erf,0,0.65147001632453,0,0.464558883387415,0,0.145000146991026
acosh,0.741264631379089,0,-0.302593156736419,0.0562357441664971,0,0.141246833355913
cos+sin,0.606530659712633,0.606530659712634,-0.606530659712633,0.632120558828558,-0.232544157934829,0.632120558828558
lingauss,-0.707106781186549,0.5,0.353553390593277,0.327350269189625,0.176776695296636,0.192450089729874
